,epic,DJA_period,SJH_period,class,probability
0,201634054,19.940439,20.0, Noise,0.981037
0,201602854,0.055327999999999995,0.046910024, DSCUT,0.9943559999999999
0,201246763,10.861296000000001,10.894569599999999,    EA,0.813033
0,201626606,18.312589000000003,18.60732198, Noise,0.989296
0,201318977,7.571561,7.592636532999999,OTHPER,0.9937040000000001
0,201537170,17.310925,18.60732198, Noise,0.9880559999999999
0,201193591,19.940435,18.9554486, Noise,0.985741
0,201507195,9.784417999999999,20.0, Noise,0.9821790000000001
0,201610136,8.899952,18.82580772,OTHPER,0.991038
0,201914571,19.940412,19.75358815, Noise,0.9887469999999999
0,201386598,16.758437,16.168, Noise,0.9849889999999999
0,201572722,14.861262,20.0, Noise,0.9856870000000001
0,201850413,0.067962,0.067961822, DSCUT,0.9814649999999999
0,201379113,14.128181,11.68883748,    EA,0.9981760000000001
0,201775723,10.033707000000001,14.96103795, Noise,0.9810040000000001
0,201382417,5.198983999999999,10.40545759,    EA,0.997609
0,201571178,13.698185,18.393849399999997, Noise,0.9881989999999999
0,201567780,14.861242,19.0494853, Noise,0.981323
0,201928270,0.325608,0.325603511,    EB,0.9035299999999999
0,201871951,1.8274869999999999,1.8278187940000001,  GDOR,0.848618
0,201680569,0.784899,0.784744898,    EB,0.967583
0,201434469,1.144003,0.981712571,  GDOR,0.941915
0,201540013,0.807847,0.807233335,  RRab,0.740287
0,201700240,12.40387,12.50965125,OTHPER,0.99379
0,201674814,15.147042,13.56831151, Noise,0.983159
0,201704541,0.411357,0.41135718200000004,    EB,0.989999
0,201671506,1.406512,1.4136379119999998,  GDOR,0.8280489999999999
0,201499998,8.608163000000001,17.13246776,OTHPER,0.9963540000000001
0,201817375,19.940389,15.39192304, Noise,0.984857
0,201790080,0.278862,0.139427389,    EB,0.997081
0,201567820,13.940648999999999,20.0, Noise,0.981138
0,201330013,14.586046,14.68693823,OTHPER,0.992539
0,201656525,7.647057000000001,7.628763572,OTHPER,0.9953860000000001
0,201603595,14.065101,14.29411655,OTHPER,0.9909690000000001
0,201371436,15.912042999999999,20.0, Noise,0.993808
0,201518531,16.758439000000003,20.0, Noise,0.9814729999999999
0,201839237,19.94042,20.0, Noise,0.9843280000000001
0,201824843,17.901062,15.10196055, Noise,0.98113
0,201884852,19.940422,0.246655055, Noise,0.9835020000000001
0,201589262,19.940393,14.1678043, Noise,0.9835020000000001
0,201552030,0.31159899999999996,0.311587376,    EB,0.973491
0,201890494,2.532626,2.532527169,    EA,0.923384
0,201198562,17.310914,14.42270132, Noise,0.981981
0,201695625,0.584309,0.584381392,    EB,0.91199
0,201802433,16.58204,1.940651904, Noise,0.981658
0,201422314,17.699920000000002,12.70795757, Noise,0.9897889999999999
0,201565020,13.464027999999999,13.56831151,OTHPER,0.990826
0,201579626,16.938617999999998,20.0, Noise,0.9850059999999999
0,201904174,0.252714,0.252703554,    EB,0.9135770000000001
0,201720987,14.861239000000001,20.0, Noise,0.9822129999999999
0,201711578,7.064085,7.057861265,OTHPER,0.992326
0,201621305,16.409288,20.0, Noise,0.981382
0,201615127,13.818347,13.92176057,OTHPER,0.9914200000000001
0,201220442,9.970222,10.07318993,OTHPER,0.990425
